a1cx,a1cy,b2x,b2y,a2pop,a3pop,temp,mxql
False,False,False,False,False,False,False,False
False,False,False,True,True,False,False,False
False,False,False,False,False,False,False,True
False,True,True,False,False,False,False,False
False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False
False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False
False,False,True,True,False,False,False,False
True,True,False,False,True,True,True,False
False,False,True,False,False,False,False,False
False,False,False,False,False,False,True,True
False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True
False,False,False,False,False,True,False,False
False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,True,True,True,False,True,False,False
True,True,False,False,True,False,False,False
False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False
False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False
True,False,False,False,True,False,False,False
True,False,True,False,False,False,False,True
False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False
False,True,True,False,False,True,False,False
False,True,True,False,False,False,False,False
False,False,False,False,False,True,False,True
False,False,False,True,True,False,False,False
False,False,True,False,False,False,False,True
False,False,False,False,True,False,False,True
False,False,False,False,False,True,False,False
False,False,False,True,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False
True,False,True,True,False,False,False,False
False,False,False,True,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False
False,True,True,False,True,False,True,False
False,True,False,True,True,False,False,False
True,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False
False,False,False,True,False,True,True,False
False,True,True,False,False,False,False,False
True,False,True,False,False,False,False,False
False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,False
True,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,True
False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,True,True,False
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True
False,False,True,False,False,False,False,True
False,False,False,False,False,False,True,False
True,False,False,False,True,False,False,False
True,False,True,False,False,True,False,False
False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False
False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False
True,False,False,False,False,False,True,False
False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False
False,False,False,True,False,False,False,True
False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False
False,False,False,False,False,True,True,False
True,False,False,True,False,False,False,False
False,False,False,True,True,False,False,False
False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False
False,False,False,True,False,False,True,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False
False,False,False,False,False,False,True,True
True,False,False,False,True,False,False,True
False,False,False,False,True,False,False,True
False,False,False,True,False,False,False,False
False,True,True,False,True,False,True,False
False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,True
False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False
False,False,False,True,True,False,True,False
False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False
False,False,False,False,False,True,True,False
False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False
False,True,True,False,True,True,True,False
False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False
False,False,True,False,True,False,True,True
True,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False
False,False,False,True,True,False,False,False
False,False,False,True,False,False,False,False
False,False,False,True,False,False,False,False
False,True,False,False,True,False,False,False
False,False,True,True,False,False,True,False
True,False,False,False,True,False,False,False
False,False,False,True,True,False,False,True
False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False
False,True,True,False,False,True,False,False
False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False
True,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False
False,False,False,False,True,True,True,False
False,False,True,False,True,False,True,True
False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True
False,False,False,False,False,False,True,True
False,False,True,True,False,False,False,True
True,True,True,False,False,False,True,False
False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,False
False,False,False,False,True,False,False,True
False,True,False,True,False,True,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,True,False,True,False,True
True,True,True,False,False,False,True,False
False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,True,True,False
False,False,False,True,False,True,False,False
False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,True,False,False,False,True,True,False
True,True,True,True,False,False,True,True
False,False,False,False,False,False,False,True
True,False,True,False,False,True,False,False
False,True,True,False,True,False,True,False
False,False,False,False,True,False,False,False
True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False
False,True,False,True,False,True,False,False
False,False,False,True,False,False,False,False
False,False,True,False,True,False,False,False
False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,True
False,False,False,True,False,True,False,True
False,False,False,True,True,True,False,False
False,False,True,True,False,False,False,False
False,True,False,False,True,False,False,False
False,False,False,True,False,True,False,True
True,False,False,False,True,True,False,False
False,False,False,False,True,False,False,False
False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,True,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,True,False,False,True,True,False,True
False,False,True,False,True,False,True,False
False,True,False,False,True,False,False,False
False,False,True,False,False,False,True,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False
False,False,True,True,True,False,False,False
False,False,False,False,False,False,False,False
True,False,True,False,True,False,False,False
False,False,True,False,True,False,False,True
False,True,False,True,False,False,False,True
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True
False,False,False,False,True,False,False,False
False,False,False,False,True,False,True,True
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True
False,False,False,True,False,True,True,False
False,False,False,False,False,True,False,False
False,False,False,False,False,True,False,False
False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False
False,False,False,True,True,True,False,False
False,False,False,False,False,False,True,False
False,False,False,False,True,True,True,False
True,False,False,False,False,False,False,False
False,True,False,True,True,False,False,True
True,True,False,False,True,False,False,False
False,False,False,True,False,False,False,True
False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,True
False,True,False,False,True,True,False,True
False,True,False,False,True,False,True,False
True,True,False,False,True,False,False,False
False,False,False,False,False,True,False,True
False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False
False,False,False,False,True,True,False,False
True,False,False,False,False,False,False,False
False,False,False,False,True,False,False,True
False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False
True,True,False,False,False,False,True,False
False,False,False,False,True,False,True,False
False,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,True,False,True
True,False,False,False,True,True,False,False
False,False,False,False,True,False,False,False
False,True,False,True,False,True,True,False
False,False,False,True,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False
False,False,True,False,False,True,False,False
False,False,False,False,True,False,False,True
True,False,False,False,True,False,False,False
False,False,False,True,False,False,False,True
True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False
False,False,True,False,False,False,False,True
True,False,True,False,False,False,False,False
False,False,False,False,True,False,False,True
True,True,False,False,False,True,True,False
True,False,False,True,False,False,False,False
False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False
False,False,True,False,False,False,True,False
False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,True
True,False,True,True,True,False,False,False
False,True,False,False,False,False,False,False
False,True,True,False,False,False,False,False
False,False,True,True,False,True,False,True
True,False,False,True,False,False,False,True
False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False
False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False
False,False,False,False,False,True,True,False
False,False,True,True,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,False,False,True,True,False,False
False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False
False,True,False,False,True,False,True,True
False,True,False,True,True,True,False,False
False,False,False,False,False,False,False,False
False,False,False,True,False,False,True,False
True,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False
False,True,True,False,False,True,False,False
True,False,True,False,False,True,False,True
True,True,False,False,False,True,False,True
False,False,False,False,True,False,True,False
False,False,False,False,False,False,True,False
False,True,False,True,True,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False
False,False,False,True,False,True,True,False
False,False,False,False,True,False,False,True
False,False,True,False,True,False,False,False
False,False,False,True,False,False,False,False
True,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False
False,False,True,True,True,True,True,True
False,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,True,True,False,True,False
False,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False
False,False,True,False,True,False,True,False
False,False,True,False,False,True,False,False
False,False,False,False,False,False,False,True
False,False,False,False,True,False,False,False
False,False,True,True,False,False,False,True
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False
False,True,False,False,True,False,False,False
False,True,False,False,False,False,False,False
False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False
False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,True
False,False,False,False,False,False,False,False
False,False,True,False,True,False,True,False
False,False,False,True,False,False,False,False
False,False,False,True,False,True,False,False
False,False,False,True,True,True,False,False
False,False,True,False,False,False,False,False
True,False,False,False,True,False,False,False
False,True,True,False,True,False,True,False
False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False
False,False,False,False,True,False,False,False
False,False,True,True,False,False,False,False
True,True,True,False,False,False,True,False
False,False,False,False,False,True,False,False
False,False,True,False,False,False,False,False
False,False,True,False,True,True,True,False
False,False,False,False,False,False,False,False
