Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement
False,False,False,False,False,False,False
False,False,False,False,True,False,False
True,False,True,True,False,False,True
False,False,False,False,False,True,False
False,False,False,True,True,True,False
True,False,False,False,False,False,False
False,True,True,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,False,False,True,True,True,True
False,False,True,False,False,True,False
False,False,False,False,False,False,False
False,True,False,False,False,False,False
False,False,True,True,False,False,False
False,False,True,False,True,False,True
False,False,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,True,False,True,True
False,True,False,False,True,True,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,True,True
False,True,False,False,False,False,False
True,True,False,False,False,False,False
False,False,True,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
True,True,True,True,False,False,False
False,True,False,False,False,False,True
False,False,False,True,False,True,True
False,True,False,True,False,False,True
True,False,False,False,True,False,True
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,True,False,False,False
True,False,False,False,False,False,False
True,False,False,False,False,False,False
False,False,True,True,False,False,False
False,False,False,True,False,False,True
True,True,True,False,False,False,False
False,False,False,False,True,False,False
False,False,False,True,False,True,False
True,True,False,False,False,False,True
False,False,False,False,False,True,False
False,False,False,False,False,True,True
False,False,False,False,False,False,True
False,False,False,False,False,False,False
False,False,True,False,False,False,False
False,True,True,False,False,True,True
False,False,False,True,False,False,False
True,False,True,False,False,False,False
False,False,False,False,False,False,False
False,False,False,True,False,False,False
False,False,True,False,False,True,True
True,False,True,False,False,False,True
True,False,True,False,False,True,True
False,True,False,True,False,False,True
False,False,False,False,False,False,False
False,False,False,False,False,False,True
False,True,False,False,True,False,True
False,True,False,False,False,False,False
False,True,True,False,True,False,False
False,True,False,False,True,False,False
False,True,False,False,False,True,True
False,False,False,False,False,False,False
False,False,True,True,False,True,True
False,False,False,False,False,False,False
False,True,False,False,True,False,False
False,False,False,False,False,False,False
False,True,False,True,False,False,True
False,True,False,False,False,True,True
False,False,False,False,True,False,False
False,False,False,False,False,True,True
False,False,False,False,True,False,True
False,False,False,False,False,True,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,True,False,False,True,True,True
False,False,False,False,False,True,False
False,False,True,False,True,False,False
False,False,False,True,False,False,False
False,False,True,True,False,False,False
False,False,False,False,False,False,False
True,False,False,True,False,True,False
False,False,False,False,False,False,False
True,False,True,False,False,False,False
False,False,False,False,False,False,False
True,False,False,True,True,False,False
False,False,False,False,False,False,False
True,False,False,False,False,True,True
False,False,False,True,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,False,False,False,False,False,False
False,True,False,False,False,False,False
False,True,False,False,False,False,False
False,False,True,True,False,False,False
False,True,True,False,False,True,True
False,False,False,False,False,True,False
False,False,False,True,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,True
False,False,False,False,False,False,False
False,False,False,False,False,True,False
False,False,True,False,False,False,True
True,False,False,False,False,False,False
False,True,False,False,False,False,False
False,False,False,True,False,True,True
False,False,False,False,False,False,True
True,False,False,False,True,False,False
False,False,False,False,True,False,False
False,False,False,False,False,True,True
False,False,True,True,False,False,False
False,False,False,False,False,False,False
False,False,False,False,True,False,False
False,False,False,False,False,False,False
False,False,False,False,True,True,False
False,False,False,False,False,False,True
False,False,False,True,False,False,False
False,True,False,True,False,False,False
True,False,False,False,False,True,False
False,False,False,True,False,False,True
True,True,False,False,False,False,True
False,False,True,False,False,False,False
False,False,True,False,False,False,False
False,False,False,False,True,True,False
False,True,True,False,False,False,False
False,False,True,False,False,False,True
True,True,True,False,False,False,False
False,False,False,True,False,False,False
True,True,False,False,False,False,False
False,True,False,False,False,False,False
True,False,False,True,False,False,False
False,False,False,True,True,True,False
False,False,True,False,True,False,True
False,True,False,False,False,False,False
True,False,False,True,True,True,False
True,False,False,False,True,False,False
False,False,False,False,True,False,True
False,True,False,False,False,True,True
True,False,False,False,False,False,False
False,False,False,True,False,True,True
False,False,False,True,False,True,True
True,False,False,True,False,False,False
True,False,True,False,True,False,True
True,False,False,False,False,True,False
False,False,True,False,False,False,False
False,False,False,False,True,False,True
True,False,False,False,False,False,False
False,False,True,False,False,False,False
True,False,False,True,False,False,False
True,False,False,False,True,False,False
False,False,False,False,True,False,True
True,True,False,False,False,False,False
False,False,False,True,False,True,False
True,False,False,False,True,False,False
True,False,False,True,True,False,False
False,True,False,True,False,False,True
False,False,False,False,False,True,False
False,False,True,True,True,False,False
False,False,False,False,False,False,False
False,False,False,True,False,False,True
True,False,False,False,False,False,False
True,True,True,False,False,False,True
False,False,False,True,False,True,False
